Continent	Region	Site	ID	calc	Published
Europe	Britain	RIII	R3-1	506.6666667	RIII
Europe	Germany	Dalheim	B17	437.2	YES
Europe	Britain	RIII	R3-3	387	RIII
Modern	Modern	Modern	POK1	346	YES
Modern	Modern	Modern	POK2	313.5	YES
Europe	Britain			226.6	No_info
Europe	Britain	Tickhill	TKEC	197.3	YES
Oceania	Oceania	Rapa Nui	NRN1	176.1	Sumitted
Europe	Britain	RIII	R3-2B	163.3043478	RIII
Oceania	Oceania	Rapa Nui	NRN4	161.1	Submitted
Europe	Britain	Tickhill	TKAC	140.7	YES
Oceania	Oceania	Rapa Nui	NRN2	131.6	Submitted
Europe	Netherlands	Middenbeemster	S383V0880	129	YES
Europe	Britain	RIII	R3-2A	122.4	RIII
Europe	Netherlands	Middenbeemster	S502V1062	118.7	YES
Europe	Netherlands	Middenbeemster	S270V1067	113.7	YES
Oceania	Oceania	Rapa Nui	NRN5	113.5	Submitted
Europe	Netherlands	Middenbeemster	S101V0131	108.6	YES
Europe	Netherlands	Middenbeemster	S402V0907	107.1	YES
Europe	Netherlands	Middenbeemster	S285V0452	103.1	YES
Europe	Netherlands	Middenbeemster	S379V0851	101.3	YES
Europe	Netherlands	Middenbeemster	S460V0971	100.7	YES
Europe	Britain	Fewston	FW053C Yang	94.7	YES
Europe	Britain	Roman Britain	UK2	84.8	YES
Europe	Netherlands	Middenbeemster	S380V0821	83.6	YES
Modern	Modern	Modern	P2	83.4	YES
Europe	Netherlands	Middenbeemster	S153V0435	82	YES
Europe	Netherlands	Middenbeemster	S236V0335	81.8	YES
Europe	Netherlands	Middenbeemster	S194V0440	81.6	YES
Europe	Netherlands	Middenbeemster	S371V0790f	80.6	YES
Europe	Netherlands	Middenbeemster	S216V0233	77.1	YES
Europe	Netherlands	Middenbeemster	S151V0666	72.8	YES
Europe	Netherlands	Middenbeemster	S422V0962	71.2	YES
Europe	Netherlands	Middenbeemster	S060V0037	70.2	YES
Europe	Netherlands	Middenbeemster	S432V0981	69.8	YES
North America	North America	Norris Farms	NF-108c	69	YES
