Study	Study_accession	Sample_type	Sample_group	Eager_label	Secondary_sample_accession	Run_accession	Sample_alias	Host	Common_name	Species	Subspeices	Kind	Habitat	Diet	Country	Other_sample_codes	Age_BP	avg_gc	avg_rl	No_reads_no_human
Fagernaes2020	PRJEB35483	calculus	ancient_calculus	WIG001	ERS4042435		WIG001	Human							Great Britain		700	56.125	67.2447172896991	21510458
Farrer2021	PRJNA688065	calculus	ancient_calculus	SRR13355784	SRS7967589	SRR13355784	Jewbury8826	Human							United Kingdom		800	51	115.472410845064	652684
Farrer2021	PRJNA688065	calculus	ancient_calculus	SRR13355785	SRS7967588	SRR13355785	Jewbury8825	Human							United Kingdom		800	54	106.97637521714	483560
Farrer2021	PRJNA688065	calculus	ancient_calculus	SRR13355786	SRS7967587	SRR13355786	Jewbury8809	Human							United Kingdom		800	50	121.217625896286	600673
Farrer2021	PRJNA688065	calculus	ancient_calculus	SRR13355787	SRS7967586	SRR13355787	Jewbury8818	Human							United Kingdom		800	54	113.40876237878	428354
Farrer2021	PRJNA688065	calculus	ancient_calculus	SRR13355789	SRS7967584	SRR13355789	Jewbury8820	Human							United Kingdom		800	53	87.3503992808805	507287
Farrer2021	PRJNA688065	calculus	ancient_calculus	SRR13355790	SRS7967583	SRR13355790	Jewbury8819	Human							United Kingdom		800	54	87.0517505911871	339571
Farrer2021	PRJNA688065	calculus	ancient_calculus	SRR13355791	SRS7967582	SRR13355791	Jewbury8816	Human							United Kingdom		800	57	96.2868830674861	1448639
Farrer2021	PRJNA688065	calculus	ancient_calculus	SRR13355792	SRS7967581	SRR13355792	Jewbury8813	Human							United Kingdom		800	54	99.1881226320805	430230
Farrer2021	PRJNA688065	calculus	ancient_calculus	SRR13355794	SRS7967579	SRR13355794	Jewbury8811	Human							United Kingdom		800	52	102.960544564153	255250
Farrer2021	PRJNA688065	calculus	ancient_calculus	SRR13355796	SRS7967577	SRR13355796	Jewbury8839	Human							United Kingdom		800	54	93.3758684846424	2176780
Farrer2021	PRJNA688065	calculus	ancient_calculus	SRR13355797	SRS7967576	SRR13355797	Jewbury8838	Human							United Kingdom		800	50	81.2819745263851	2490420
Farrer2021	PRJNA688065	calculus	ancient_calculus	SRR13355798	SRS7967575	SRR13355798	Jewbury8835	Human							United Kingdom		800	50	98.8941689306599	4216002
Farrer2021	PRJNA688065	calculus	ancient_calculus	SRR13355799	SRS7967574	SRR13355799	Jewbury8830	Human							United Kingdom		800	55	96.8216091540129	2055055
Farrer2021	PRJNA688065	calculus	ancient_calculus	SRR13355800	SRS7967573	SRR13355800	Jewbury8822	Human							United Kingdom		800	49	99.2536617833073	2716436
Farrer2021	PRJNA688065	calculus	ancient_calculus	SRR13355801	SRS7967572	SRR13355801	Jewbury8815	Human							United Kingdom		800	47	95.6041164365756	2519655
Farrer2021	PRJNA688065	calculus	ancient_calculus	SRR13355802	SRS7967571	SRR13355802	Jewbury8857	Human							United Kingdom		800	53	101.042374475625	621931
Farrer2021	PRJNA688065	calculus	ancient_calculus	SRR13355803	SRS7967570	SRR13355803	Jewbury8856	Human							United Kingdom		800	50	97.8846965668439	514512
Farrer2021	PRJNA688065	calculus	ancient_calculus	SRR13355804	SRS7967569	SRR13355804	Jewbury8855	Human							United Kingdom		800	53	92.4360133625318	403217
