Library_ID	Sample_ID	Sample_or_Control	UDG	Study
G12_25_2E5_YaleRun1	G12	Sample	non	Warinner2014
G12_25_2E6_YaleRun1	G12	Sample	non	Warinner2014
G12_25_2E7_YaleRun1	G12	Sample	non	Warinner2014
G12_25_2E8_YaleRun1	G12	Sample	non	Warinner2014
G12_2E5_YaleRun2	G12	Sample	non	Warinner2014
G12_2E6_YaleRun2	G12	Sample	non	Warinner2014
G12_2E7_YaleRun2	G12	Sample	non	Warinner2014
G12_2E8_YaleRun2	G12	Sample	non	Warinner2014
G12_pub	G12	Sample	non	Warinner2014
B61	B61	Sample	non	Warinner2014
R31	R31	Sample	non	RIII
R32A	R32A	Sample	non	RIII
R32B	R32B	Sample	non	RIII
R33	R33	Sample	non	RIII
R3-AncBL1	R3-AncBL1	Control	non	RIII_control
R3-AncBL2	R3-AncBL2	Control	non	RIII_control
R3Bag	R3Bag	Control	non	RIII_control
R3Box	R3Box	Control	non	RIII_control
R3FR	R3FR	Control	non	RIII_control
R3GL	R3GL	Control	non	RIII_control
R3HS	R3HS	Control	non	RIII_control
R3MODBL	R3MODBL	Control	non	RIII_control
SMH005.A0101	SMH005.A	Sample	non	SMH
SMH005.A0102	SMH005.A	Sample	full	SMH
SMH007.A0101	SMH007.A	Sample	non	SMH
SMH007.A0102	SMH007.A	Sample	full	SMH
SMH008.A0101	SMH008.A	Sample	non	SMH
SMH008.A0102	SMH008.A	Sample	full	SMH
EXB033.A1201	EXB033.A1201	Control	non	Control
LIB025.A1601	LIB025.A1601	Control	non	Control
