"#SampleID"	"BarcodeSequence"	"LinkerPrimerSequence"	"Study"	"SourceSink"	"Env"
"ARS001.A0101"			"Kovsgol"	"source"	"archBone"
"ARS004.A0101"			"Kovsgol"	"source"	"archBone"
"ARS005.A0101"			"Kovsgol"	"source"	"archBone"
"ARS010.A0101"			"Kovsgol"	"source"	"archBone"
"ARS011.A0101"			"Kovsgol"	"source"	"archBone"
"ARS012.A0101"			"Kovsgol"	"source"	"archBone"
"ARS013.A0101"			"Kovsgol"	"source"	"archBone"
"ARS015.A0101"			"Kovsgol"	"source"	"archBone"
"ARS017.A0101"			"Kovsgol"	"source"	"archBone"
"ARS020.A0101"			"Kovsgol"	"source"	"archBone"
"B61"			"RIII"	"sink"	"calculus"
"BAN001.A0101"			"FellowsYates2021"	"sink"	"calculus"
"BSQ001.A0101"			"FellowsYates2021"	"sink"	"calculus"
"DLV001.A0101"			"FellowsYates2021"	"sink"	"calculus"
"ECO002.B0101"			"FellowsYates2021"	"sink"	"calculus"
"ECO002.C0101"			"FellowsYates2021"	"sink"	"calculus"
"ECO004.B0101"			"FellowsYates2021"	"sink"	"calculus"
"ECO004.C0101"			"FellowsYates2021"	"sink"	"calculus"
"ECO006.B0101"			"FellowsYates2021"	"sink"	"calculus"
"ECO010.B0101"			"FellowsYates2021"	"sink"	"calculus"
"EMN001.A0101"			"FellowsYates2021"	"sink"	"calculus"
"ERR1883418"			"Slon2017"	"source"	"sediment"
"ERR1883419"			"Slon2017"	"source"	"sediment"
"ERR1883420"			"Slon2017"	"source"	"sediment"
"ERR1883421"			"Slon2017"	"source"	"sediment"
"ERR1883422"			"Slon2017"	"source"	"sediment"
"ERR1883423"			"Slon2017"	"source"	"sediment"
"ERR1883424"			"Slon2017"	"source"	"sediment"
"ERR1883430"			"Slon2017"	"source"	"sediment"
"ERR1883436"			"Slon2017"	"source"	"sediment"
"ERR1883438"			"Slon2017"	"source"	"sediment"
"ERR5729614"			"Ottoni2021"	"sink"	"calculus"
"ERR5729615"			"Ottoni2021"	"sink"	"calculus"
"ERR5729616"			"Ottoni2021"	"sink"	"calculus"
"ERR5729617"			"Ottoni2021"	"sink"	"calculus"
"ERR5729618"			"Ottoni2021"	"sink"	"calculus"
"ERR5729619"			"Ottoni2021"	"sink"	"calculus"
"ERR5729620"			"Ottoni2021"	"sink"	"calculus"
"ERR5729621"			"Ottoni2021"	"sink"	"calculus"
"ERR5729622"			"Ottoni2021"	"sink"	"calculus"
"ERR5729623"			"Ottoni2021"	"sink"	"calculus"
"ERR5729624"			"Ottoni2021"	"sink"	"calculus"
"ERR5729625"			"Ottoni2021"	"sink"	"calculus"
"ERR5729626"			"Ottoni2021"	"sink"	"calculus"
"ERR5729627"			"Ottoni2021"	"sink"	"calculus"
"ERR5729628"			"Ottoni2021"	"sink"	"calculus"
"ERR5729629"			"Ottoni2021"	"sink"	"calculus"
"ERR5729630"			"Ottoni2021"	"sink"	"calculus"
"ERR5729631"			"Ottoni2021"	"sink"	"calculus"
"ERR5729632"			"Ottoni2021"	"sink"	"calculus"
"ERR5729633"			"Ottoni2021"	"sink"	"calculus"
"ERR5729634"			"Ottoni2021"	"sink"	"calculus"
"ERR5729635"			"Ottoni2021"	"sink"	"calculus"
"ERR5729636"			"Ottoni2021"	"sink"	"calculus"
"ERR5729637"			"Ottoni2021"	"sink"	"calculus"
"ERR5729638"			"Ottoni2021"	"sink"	"calculus"
"ERR5729639"			"Ottoni2021"	"sink"	"calculus"
"ERR5729640"			"Ottoni2021"	"sink"	"calculus"
"ERR5729641"			"Ottoni2021"	"sink"	"calculus"
"ERR5729642"			"Ottoni2021"	"sink"	"calculus"
"ERR5729643"			"Ottoni2021"	"sink"	"calculus"
"ERR5729644"			"Ottoni2021"	"sink"	"calculus"
"ERR5729645"			"Ottoni2021"	"sink"	"calculus"
"ERR5729646"			"Ottoni2021"	"sink"	"calculus"
"ERR5729647"			"Ottoni2021"	"sink"	"calculus"
"ERR5729648"			"Ottoni2021"	"sink"	"calculus"
"ERR5729649"			"Ottoni2021"	"sink"	"calculus"
"ERR5729650"			"Ottoni2021"	"sink"	"calculus"
"ERR5729651"			"Ottoni2021"	"sink"	"calculus"
"ERR5729652"			"Ottoni2021"	"sink"	"calculus"
"ERR5729653"			"Ottoni2021"	"sink"	"calculus"
"ERR5729654"			"Ottoni2021"	"sink"	"calculus"
"ERR5729655"			"Ottoni2021"	"sink"	"calculus"
"ERR5729656"			"Ottoni2021"	"sink"	"calculus"
"ERR5729657"			"Ottoni2021"	"sink"	"calculus"
"EXB033.A1201"			"RIII"	"sink"	"calculus"
"FUM001.A0101"			"FellowsYates2021"	"sink"	"calculus"
"FUM002.A0101"			"FellowsYates2021"	"sink"	"calculus"
"FUM003.A0101"			"FellowsYates2021"	"sink"	"calculus"
"G12_25_2E5_YaleRun1"			"RIII"	"sink"	"calculus"
"G12_25_2E6_YaleRun1"			"RIII"	"sink"	"calculus"
"G12_25_2E7_YaleRun1"			"RIII"	"sink"	"calculus"
"G12_25_2E8_YaleRun1"			"RIII"	"sink"	"calculus"
"G12_2E5_YaleRun2"			"RIII"	"sink"	"calculus"
"G12_2E6_YaleRun2"			"RIII"	"sink"	"calculus"
"G12_2E7_YaleRun2"			"RIII"	"sink"	"calculus"
"G12_2E8_YaleRun2"			"RIII"	"sink"	"calculus"
"G12_pub"			"RIII"	"sink"	"calculus"
"GDN001.A0101"			"FellowsYates2021"	"sink"	"calculus"
"GDN001.B0101"			"FellowsYates2021"	"sink"	"calculus"
"GOY005.A0103"			"FellowsYates2021"	"sink"	"calculus"
"GOY006.A0102"			"FellowsYates2021"	"sink"	"calculus"
"GUE001.A0101"			"FellowsYates2021"	"sink"	"calculus"
"JAE006.A0101"			"evolution"	"source"	"modernCalculus"
"JAE007.A0101"			"evolution"	"source"	"modernCalculus"
"JAE008.A0101"			"evolution"	"source"	"modernCalculus"
"JAE009.A0101"			"evolution"	"source"	"modernCalculus"
"JAE012.A0101"			"evolution"	"source"	"modernCalculus"
"LIB025.A1601"			"RIII"	"sink"	"calculus"
"LIS001.A0101"			"FellowsYates2021"	"sink"	"calculus"
"LIS002.A0101"			"FellowsYates2021"	"sink"	"calculus"
"LIS003.A0101"			"FellowsYates2021"	"sink"	"calculus"
"OFN001.A0101"			"FellowsYates2021"	"sink"	"calculus"
"PES001.B0101"			"FellowsYates2021"	"sink"	"calculus"
"PLV001.A0101"			"FellowsYates2021"	"sink"	"calculus"
"R3-AncBL1"			"RIII"	"sink"	"calculus"
"R3-AncBL2"			"RIII"	"sink"	"calculus"
"R31"			"RIII"	"sink"	"calculus"
"R32A"			"RIII"	"sink"	"calculus"
"R32B"			"RIII"	"sink"	"calculus"
"R33"			"RIII"	"sink"	"calculus"
"R3Bag"			"RIII"	"sink"	"calculus"
"R3Box"			"RIII"	"sink"	"calculus"
"R3FR"			"RIII"	"sink"	"calculus"
"R3GL"			"RIII"	"sink"	"calculus"
"R3HS"			"RIII"	"sink"	"calculus"
"R3MODBL"			"RIII"	"sink"	"calculus"
"RIG001.A0101"			"FellowsYates2021"	"sink"	"calculus"
"SMH005.A0101"			"RIII"	"sink"	"calculus"
"SMH005.A0102"			"RIII"	"sink"	"calculus"
"SMH007.A0101"			"RIII"	"sink"	"calculus"
"SMH007.A0102"			"RIII"	"sink"	"calculus"
"SMH008.A0101"			"RIII"	"sink"	"calculus"
"SMH008.A0102"			"RIII"	"sink"	"calculus"
"SPM001.A0101"			"FellowsYates2021"	"sink"	"calculus"
"SPM002.A0101"			"FellowsYates2021"	"sink"	"calculus"
"SRR059389"			"HMP2012"	"source"	"urbanGut"
"SRR059455"			"HMP2012"	"source"	"urbanGut"
"SRR059917"			"HMP2012"	"source"	"urbanGut"
"SRR060358"			"HMP2012"	"source"	"urbanGut"
"SRR061192"			"HMP2012"	"source"	"supPlaque"
"SRR061294"			"HMP2012"	"source"	"subPlaque"
"SRR061320"			"HMP2012"	"source"	"supPlaque"
"SRR061365"			"HMP2012"	"source"	"supPlaque"
"SRR061562"			"HMP2012"	"source"	"supPlaque"
"SRR062083"			"HMP2012"	"source"	"supPlaque"
"SRR062298"			"HMP2012"	"source"	"subPlaque"
"SRR062299"			"HMP2012"	"source"	"subPlaque"
"SRR063517"			"HMP2012"	"source"	"supPlaque"
"SRR1631060"			"Oh2016"	"source"	"skin"
"SRR1631061"			"Oh2016"	"source"	"skin"
"SRR1631063"			"Oh2016"	"source"	"skin"
"SRR1631064"			"Oh2016"	"source"	"skin"
"SRR1633008"			"Oh2016"	"source"	"skin"
"SRR1761677"			"Sankaranarayanan2015"	"source"	"urbanGut"
"SRR1761682"			"Sankaranarayanan2015"	"source"	"urbanGut"
"SRR1761688"			"Sankaranarayanan2015"	"source"	"urbanGut"
"SRR1761698"			"ObregonTito2015"	"source"	"ruralGut"
"SRR1761705"			"ObregonTito2015"	"source"	"ruralGut"
"SRR1761721"			"ObregonTito2015"	"source"	"ruralGut"
"SRR1804664"			"HMP2012"	"source"	"supPlaque"
"SRR1804823"			"HMP2012"	"source"	"supPlaque"
"SRR1929408"			"Rampelli2015"	"source"	"ruralGut"
"SRR1930121"			"Rampelli2015"	"source"	"ruralGut"
"SRR1930123"			"Rampelli2015"	"source"	"ruralGut"
"SRR1930141"			"Rampelli2015"	"source"	"ruralGut"
"SRR1930145"			"Rampelli2015"	"source"	"ruralGut"
"SRR3184100"			"Oh2016"	"source"	"skin"
"SRR3184876"			"Oh2016"	"source"	"skin"
"SRR3189411"			"Oh2016"	"source"	"skin"
"SRR3189416"			"Oh2016"	"source"	"skin"
"SRR3189418"			"Oh2016"	"source"	"skin"
"SRR512767"			"HMP2012"	"source"	"supPlaque"
"SRR513165"			"HMP2012"	"source"	"subPlaque"
"SRR513768"			"HMP2012"	"source"	"subPlaque"
"SRR513775"			"HMP2012"	"source"	"subPlaque"
"SRR513828"			"HMP2012"	"source"	"supPlaque"
"SRR514202"			"HMP2012"	"source"	"subPlaque"
"SRR514239"			"HMP2012"	"source"	"subPlaque"
"SRR514306"			"HMP2012"	"source"	"subPlaque"
"SRR514329"			"HMP2012"	"source"	"subPlaque"
"VLC001.A0101"			"evolution"	"source"	"modernCalculus"
"VLC002.A0101"			"evolution"	"source"	"modernCalculus"
"VLC003.A0101"			"evolution"	"source"	"modernCalculus"
"VLC004.A0101"			"evolution"	"source"	"modernCalculus"
"VLC005.A0101"			"evolution"	"source"	"modernCalculus"
"VLD001.A0101"			"FellowsYates2021"	"sink"	"calculus"
"ZAF001.A0101"			"FellowsYates2021"	"sink"	"calculus"
